year,month,carrier,airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,delay_per_flight,total_delay
2022,7,9E,EWR,121.0,14.0,2.76,1.0,9.26,0.0,0.97,19.0,0.0,1353.0,84.0,147.0,980.0,0.0,142.0,11.09016393442623,1353.0
2022,7,9E,FAY,36.0,4.0,1.81,0.0,2.19,0.0,0.0,0.0,0.0,149.0,37.0,0.0,112.0,0.0,0.0,4.027027027027027,149.0
2022,7,9E,FSD,33.0,6.0,1.94,0.0,0.0,0.0,4.06,0.0,0.0,701.0,185.0,0.0,0.0,0.0,516.0,20.61764705882353,701.0
2022,7,9E,GNV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,7,9E,GPT,31.0,5.0,2.0,0.0,1.04,0.0,1.96,1.0,0.0,495.0,114.0,0.0,33.0,0.0,348.0,15.46875,495.0
2022,7,9E,GRR,78.0,19.0,7.9,0.0,5.62,0.0,5.48,12.0,0.0,1590.0,785.0,0.0,244.0,0.0,561.0,20.126582278481013,1590.0
2022,7,9E,GSO,103.0,32.0,12.44,2.53,8.62,0.0,8.42,6.0,0.0,2288.0,802.0,191.0,382.0,0.0,913.0,22.0,2288.0
2022,7,9E,GSP,100.0,21.0,6.02,0.31,5.23,0.0,9.44,10.0,0.0,1485.0,350.0,27.0,214.0,0.0,894.0,14.702970297029703,1485.0
2022,7,9E,GTR,83.0,20.0,7.34,0.33,5.48,0.0,6.86,1.0,0.0,1718.0,1079.0,16.0,154.0,0.0,469.0,20.452380952380953,1718.0
2022,7,9E,HPN,50.0,8.0,4.18,0.9,2.52,0.0,0.39,1.0,0.0,599.0,281.0,206.0,96.0,0.0,16.0,11.745098039215685,599.0
2022,7,9E,IAD,93.0,20.0,7.36,0.0,9.1,0.0,3.54,10.0,0.0,1092.0,487.0,0.0,372.0,0.0,233.0,11.617021276595745,1092.0
2022,7,9E,ILM,120.0,38.0,11.72,2.24,20.63,0.0,3.41,6.0,0.0,1578.0,630.0,223.0,610.0,0.0,115.0,13.041322314049587,1578.0
2022,7,9E,IND,186.0,39.0,17.25,0.0,10.72,0.48,10.55,11.0,0.0,3776.0,1842.0,0.0,671.0,90.0,1173.0,20.192513368983956,3686.0
2022,7,9E,ITH,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,7,9E,LAN,70.0,4.0,3.8,0.0,0.03,0.0,0.17,0.0,0.0,622.0,600.0,0.0,14.0,0.0,8.0,8.76056338028169,622.0
2022,7,9E,LEX,71.0,22.0,10.18,0.9,5.92,0.0,4.99,0.0,0.0,1028.0,389.0,32.0,216.0,0.0,391.0,14.277777777777779,1028.0
2022,7,9E,LFT,94.0,15.0,3.93,0.0,6.92,0.0,4.15,0.0,0.0,526.0,154.0,0.0,206.0,0.0,166.0,5.536842105263158,526.0
2022,7,9E,MBS,62.0,7.0,4.79,0.0,1.21,0.0,1.0,0.0,0.0,1065.0,870.0,0.0,54.0,0.0,141.0,16.904761904761905,1065.0
2022,7,9E,MCI,36.0,6.0,1.58,0.0,2.35,0.0,2.07,2.0,0.0,1536.0,989.0,0.0,141.0,0.0,406.0,41.513513513513516,1536.0
2022,7,9E,MEM,75.0,15.0,6.07,0.0,4.63,0.0,4.31,3.0,0.0,965.0,357.0,0.0,169.0,0.0,439.0,12.697368421052632,965.0
2022,7,9E,MGM,124.0,27.0,11.94,2.78,4.38,0.0,7.9,0.0,0.0,1952.0,1162.0,182.0,160.0,0.0,448.0,15.616,1952.0
2022,7,9E,MKE,231.0,55.0,25.73,1.0,12.67,0.0,15.6,22.0,2.0,4947.0,1883.0,40.0,667.0,0.0,2357.0,21.323275862068964,4947.0
2022,7,9E,MLI,52.0,8.0,3.85,0.0,1.75,0.0,2.4,0.0,0.0,562.0,327.0,0.0,54.0,0.0,181.0,10.60377358490566,562.0
2022,7,9E,MLU,83.0,19.0,6.65,0.0,1.92,0.0,10.43,0.0,0.0,1126.0,594.0,0.0,85.0,0.0,447.0,13.404761904761905,1126.0
2022,7,9E,MOB,107.0,31.0,18.09,1.61,6.15,0.0,5.16,0.0,1.0,1771.0,1139.0,53.0,218.0,0.0,361.0,16.39814814814815,1771.0
2022,7,9E,MSN,79.0,15.0,3.34,1.34,7.14,0.0,3.18,9.0,0.0,1575.0,285.0,599.0,478.0,0.0,213.0,19.6875,1575.0
2022,7,9E,MYR,93.0,25.0,5.75,0.0,14.93,0.0,4.31,6.0,0.0,1748.0,425.0,0.0,816.0,0.0,507.0,18.595744680851062,1748.0
2022,7,9E,OAJ,52.0,15.0,4.6,0.0,3.98,0.0,6.42,0.0,0.0,1373.0,483.0,0.0,227.0,0.0,663.0,25.90566037735849,1373.0
2022,7,9E,OMA,37.0,9.0,4.0,1.0,1.93,0.0,2.07,7.0,0.0,1563.0,608.0,507.0,272.0,0.0,176.0,41.13157894736842,1563.0
2022,7,9E,ORD,91.0,13.0,1.18,0.0,7.71,0.0,4.11,6.0,0.0,796.0,112.0,0.0,457.0,0.0,227.0,8.652173913043478,796.0
2022,7,9E,ORF,284.0,47.0,14.02,0.62,13.27,0.0,19.09,21.0,1.0,4695.0,1499.0,16.0,1070.0,0.0,2110.0,16.473684210526315,4695.0
2022,7,9E,ORH,26.0,5.0,3.31,0.0,1.0,0.0,0.69,3.0,0.0,230.0,178.0,0.0,18.0,0.0,34.0,8.518518518518519,230.0
2022,7,9E,PHL,26.0,9.0,4.72,0.47,0.51,0.0,3.3,2.0,0.0,759.0,455.0,8.0,34.0,0.0,262.0,28.11111111111111,759.0
2022,7,9E,PIT,247.0,46.0,11.32,2.59,14.68,0.0,17.41,18.0,0.0,3435.0,776.0,179.0,963.0,0.0,1517.0,13.850806451612904,3435.0
2022,7,9E,PVD,126.0,15.0,8.48,0.0,0.9,0.0,5.62,6.0,0.0,1248.0,821.0,0.0,22.0,0.0,405.0,9.826771653543307,1248.0
2022,7,9E,PWM,170.0,24.0,10.44,1.0,6.82,0.0,5.74,24.0,0.0,3801.0,1858.0,346.0,887.0,0.0,710.0,22.228070175438596,3801.0
2022,7,9E,RIC,309.0,49.0,13.25,1.0,16.73,0.0,18.02,19.0,0.0,3715.0,1112.0,146.0,833.0,0.0,1624.0,11.983870967741936,3715.0
2022,7,9E,ROA,88.0,15.0,7.77,1.0,4.24,0.0,2.0,1.0,0.0,692.0,448.0,26.0,134.0,0.0,84.0,7.775280898876405,692.0
2022,7,9E,ROC,250.0,33.0,9.39,3.37,6.5,0.0,13.75,18.0,0.0,2607.0,1089.0,225.0,228.0,0.0,1065.0,10.386454183266933,2607.0
2022,7,9E,SAV,183.0,37.0,5.04,0.82,13.51,0.0,17.63,16.0,1.0,3838.0,564.0,118.0,717.0,0.0,2439.0,20.858695652173914,3838.0
2022,7,9E,SGF,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,3.5555555555555554,32.0
2022,7,9E,SHV,95.0,17.0,7.7,0.92,5.93,0.0,2.45,0.0,0.0,560.0,172.0,22.0,211.0,0.0,155.0,5.833333333333333,560.0
2022,7,9E,STL,140.0,18.0,7.59,0.46,6.02,0.0,3.92,19.0,0.0,1367.0,449.0,44.0,568.0,0.0,306.0,9.695035460992909,1367.0
2022,7,9E,SYR,223.0,31.0,17.04,0.0,4.08,0.0,9.88,13.0,0.0,1586.0,792.0,0.0,148.0,0.0,646.0,7.080357142857143,1586.0
2022,7,9E,TRI,149.0,19.0,9.11,0.42,4.78,0.0,4.7,0.0,0.0,1536.0,1023.0,48.0,185.0,0.0,280.0,10.24,1536.0
2022,7,9E,TVC,103.0,12.0,6.21,1.13,3.39,0.0,1.27,2.0,0.0,818.0,477.0,52.0,166.0,0.0,123.0,7.865384615384615,818.0
2022,7,9E,TYS,218.0,45.0,13.85,0.27,13.79,0.0,17.09,8.0,2.0,3524.0,1020.0,29.0,576.0,0.0,1899.0,16.091324200913242,3524.0
2022,7,9E,VLD,87.0,19.0,8.36,1.9,2.94,0.0,5.8,0.0,0.0,886.0,339.0,187.0,109.0,0.0,251.0,10.068181818181818,886.0
2022,7,9E,XNA,111.0,15.0,7.77,1.37,2.5,0.0,3.37,1.0,0.0,951.0,538.0,115.0,167.0,0.0,131.0,8.491071428571429,951.0
2022,7,AA,ALB,79.0,32.0,10.23,2.28,3.58,0.22,15.7,3.0,0.0,2806.0,1036.0,181.0,120.0,19.0,1450.0,35.075,2787.0
2022,7,AA,ANC,93.0,25.0,10.66,0.0,7.93,0.0,6.41,0.0,1.0,2454.0,1089.0,0.0,309.0,0.0,1056.0,26.106382978723403,2454.0
2022,7,AA,AVL,31.0,12.0,5.99,0.0,0.59,0.0,5.42,1.0,0.0,578.0,345.0,0.0,27.0,0.0,206.0,18.0625,578.0
2022,7,AA,AVP,84.0,38.0,13.8,3.71,5.68,0.0,14.81,2.0,1.0,2180.0,595.0,332.0,199.0,0.0,1054.0,25.647058823529413,2180.0
2022,7,AA,BGR,62.0,18.0,3.91,0.0,2.37,0.0,11.73,2.0,0.0,1153.0,174.0,0.0,85.0,0.0,894.0,18.3015873015873,1153.0
2022,7,AA,BHM,55.0,31.0,9.28,1.0,9.56,0.15,11.02,0.0,3.0,2140.0,629.0,52.0,301.0,6.0,1152.0,38.214285714285715,2134.0
2022,7,AA,BOI,124.0,38.0,17.96,0.51,3.37,0.0,16.16,2.0,0.0,3107.0,1488.0,34.0,128.0,0.0,1457.0,24.856,3107.0
2022,7,AA,BTV,52.0,12.0,5.03,0.0,3.17,0.0,3.79,1.0,0.0,761.0,326.0,0.0,143.0,0.0,292.0,14.358490566037736,761.0
2022,7,AA,BUR,62.0,19.0,6.43,0.32,3.05,0.0,9.2,0.0,0.0,825.0,319.0,6.0,142.0,0.0,358.0,13.095238095238095,825.0
2022,7,AA,BZN,93.0,34.0,13.01,0.0,7.22,0.0,13.77,0.0,0.0,2097.0,871.0,0.0,238.0,0.0,988.0,22.30851063829787,2097.0
2022,7,AA,COS,93.0,26.0,12.4,0.0,2.92,0.0,10.69,0.0,0.0,1373.0,608.0,0.0,104.0,0.0,661.0,14.606382978723405,1373.0
2022,7,AA,CVG,123.0,40.0,13.61,0.0,5.7,1.0,19.69,4.0,0.0,2190.0,655.0,0.0,224.0,17.0,1294.0,17.661290322580644,2173.0
2022,7,AA,DSM,180.0,62.0,24.03,2.28,7.81,0.34,27.54,7.0,0.0,4625.0,2009.0,117.0,315.0,8.0,2176.0,25.552486187845304,4617.0
2022,7,AA,ECP,10.0,4.0,2.37,0.0,0.43,0.0,1.21,0.0,0.0,263.0,106.0,0.0,23.0,0.0,134.0,23.90909090909091,263.0
2022,7,AA,EGE,62.0,16.0,7.08,0.09,3.66,0.0,5.17,1.0,1.0,1959.0,818.0,9.0,214.0,0.0,918.0,31.095238095238095,1959.0
2022,7,AA,ELP,140.0,57.0,17.64,0.25,7.12,0.0,31.99,5.0,0.0,4420.0,1615.0,12.0,288.0,0.0,2505.0,31.347517730496453,4420.0
2022,7,AA,EUG,64.0,25.0,9.41,0.59,0.86,0.0,14.15,0.0,0.0,2479.0,774.0,64.0,55.0,0.0,1586.0,38.13846153846154,2479.0
2022,7,AA,EYW,201.0,45.0,19.65,1.53,10.14,0.0,13.69,6.0,0.0,3388.0,1613.0,47.0,495.0,0.0,1233.0,16.77227722772277,3388.0
2022,7,AA,FAT,130.0,34.0,15.34,0.0,4.36,0.0,14.29,4.0,0.0,2564.0,1437.0,0.0,99.0,0.0,1028.0,19.572519083969464,2564.0
2022,7,AA,FCA,72.0,22.0,6.48,0.0,13.27,0.0,2.25,0.0,1.0,1367.0,469.0,0.0,696.0,0.0,202.0,18.726027397260275,1367.0
2022,7,AA,GEG,62.0,20.0,10.94,0.0,0.6,0.0,8.46,0.0,0.0,3160.0,1514.0,0.0,51.0,0.0,1595.0,50.15873015873016,3160.0
2022,7,AA,GRR,118.0,44.0,16.25,0.0,4.15,0.0,23.59,8.0,1.0,3883.0,1681.0,0.0,183.0,0.0,2019.0,32.63025210084034,3883.0
2022,7,AA,GSO,31.0,20.0,1.82,2.54,2.17,0.0,13.47,1.0,0.0,1545.0,171.0,285.0,85.0,0.0,1004.0,48.28125,1545.0
2022,7,AA,GSP,61.0,25.0,15.88,0.0,3.91,0.0,5.21,2.0,0.0,1672.0,1120.0,0.0,107.0,0.0,445.0,26.967741935483872,1672.0
2022,7,AA,HNL,217.0,29.0,20.56,0.0,3.95,0.0,4.49,0.0,1.0,1711.0,1172.0,0.0,118.0,0.0,421.0,7.848623853211009,1711.0
2022,7,AA,IAD,123.0,47.0,10.1,3.93,3.8,0.0,29.17,8.0,1.0,2868.0,393.0,280.0,180.0,0.0,2015.0,23.129032258064516,2868.0
2022,7,AA,ICT,110.0,41.0,18.04,0.41,2.04,0.0,20.51,3.0,0.0,4967.0,1985.0,9.0,107.0,0.0,2866.0,44.747747747747745,4967.0
2022,7,AA,ILM,98.0,48.0,10.82,8.79,5.06,2.0,21.33,5.0,1.0,3820.0,575.0,789.0,281.0,48.0,2127.0,38.58585858585859,3772.0
2022,7,AA,JAC,98.0,22.0,11.93,0.15,4.87,0.0,5.05,1.0,0.0,1742.0,896.0,40.0,171.0,0.0,635.0,17.595959595959595,1742.0
